Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.000174571226719436,9.06240092126826E-18,-0.000317634800286892,0,0,0,3.53421059124483,0.0082468084514557,-7.60265025238063E-17,2.35072626787776E-05,0.0288201000684999,-1.52363759666145E-17,0.0334951886292465,0,0,0,0,0,0,package://A001_full_assem/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/body.STL,,D004_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_coxa,0.0101571676911325,1.29074873629562E-18,0.0360475703553503,0,0,0,0.357956566838238,0.000267566341044879,-9.96989892557635E-21,2.38105573028357E-06,0.000318616541927675,1.14121597855963E-20,0.000314891505706399,0,0,0,0,0,0,package://A001_full_assem/meshes/front_left_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/front_left_coxa.STL,,D001_shoulder_front_left-1,Origin_front_left_j1,Axis_front_left_j1,front_left_j1,continuous,0.155,0.04,0,1.5708,0,1.5708,body,0,0,1,,,,,,,,,,,,
front_left_femur,0.0540403586792016,-0.000392932947434519,0.000209269982925628,0,0,0,0.221779515725082,9.24043033879767E-05,5.40703887251772E-07,7.02697694701529E-06,0.000826603782824903,-1.82367235893873E-08,0.000859693992619264,0,0,0,0,0,0,package://A001_full_assem/meshes/front_left_femur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/front_left_femur.STL,,D002_femur_left-1,Origin_front_left_j2,Axis_front_left_j2,front_left_j2,continuous,0.071,0,0.038,0,1.5708,0,front_left_coxa,0,0,-1,,,,,,,,,,,,
front_left_tibia,0.0769737322157676,-0.000161721808717277,1.38777878078145E-17,0,0,0,0.0767264004240441,5.98334796474589E-06,-2.28166947954325E-07,-3.56496599667045E-21,0.000243227038063636,1.71305728065961E-13,0.000243965339910109,0,0,0,0,0,0,package://A001_full_assem/meshes/front_left_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/front_left_tibia.STL,,D003_tibia_left-1,Origin_front_left_j3,Axis_front_left_j3,front_left_j3,continuous,0.16,0,0,0,0,-1.5708,front_left_femur,0,0,1,,,,,,,,,,,,
front_right_coxa,0.0101571676911324,-1.93167383400936E-18,0.0360475703553503,0,0,0,0.357956566838237,0.000267566341044878,1.77544371288973E-20,2.3810557302835E-06,0.000318616541927675,-1.22879906266724E-20,0.000314891505706399,0,0,0,0,0,0,package://A001_full_assem/meshes/front_right_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/front_right_coxa.STL,,D001A_shoulder_front_right-1,Origin_front_right_j1,Axis_front_right_j1,front_right_j1,continuous,0.155,-0.0399999999999995,0,-1.5707963267949,0,-1.57079632679489,body,0,0,1,,,,,,,,,,,,
front_right_femur,0.0540403586792016,0.000392932947434331,0.000209269982925558,0,0,0,0.221779515725082,9.24043033879767E-05,-5.4070388724918E-07,7.02697694701628E-06,0.000826603782824904,1.82367235893569E-08,0.000859693992619265,0,0,0,0,0,0,package://A001_full_assem/meshes/front_right_femur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/front_right_femur.STL,,D002A_femur_right-1,Origin_front_right_j2,Axis_front_right_j2,front_right_j2,continuous,0.071,0,0.038,0,1.5707963267949,0,front_right_coxa,0,0,1,,,,,,,,,,,,
front_right_tibia,0.0769737291485542,0.000161721337977823,4.75390005139076E-11,0,0,0,0.0767263959082595,5.98334790928996E-06,2.28168970537447E-07,-1.24223191388862E-13,0.000243227025333368,7.74749005378918E-14,0.000243965326667764,0,0,0,0,0,0,package://A001_full_assem/meshes/front_right_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/front_right_tibia.STL,,D003A_tibia_right-1,Origin_front_right_j3,Axis_front_right_j3,front_right_j3,continuous,0.16,0,0,0,0,1.5708,front_right_femur,0,0,-1,,,,,,,,,,,,
back_left_coxa,0.0101571676911324,-1.39680278333714E-18,0.0360475703553502,0,0,0,0.357956566838238,0.000267566341044879,-6.75277430057797E-21,2.38105573028354E-06,0.000318616541927675,-1.19816855782472E-22,0.000314891505706399,0,0,0,0,0,0,package://A001_full_assem/meshes/back_left_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/back_left_coxa.STL,,D001C_shoulder_rear_left-1,Origin_back_left_j1,Axis_back_left_j1,back_left_j1,continuous,-0.155,0.04,0,-1.5708,0,1.5708,body,0,0,-1,,,,,,,,,,,,
back_left_femur,0.0540403586792017,-0.00039293294743452,0.000209269982925614,0,0,0,0.221779515725082,9.24043033879768E-05,5.4070388725173E-07,7.02697694701545E-06,0.000826603782824904,-1.82367235893669E-08,0.000859693992619265,0,0,0,0,0,0,package://A001_full_assem/meshes/back_left_femur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/back_left_femur.STL,,D002_femur_left-2,Origin_back_left_j2,Axis_back_left_j2,back_left_j2,continuous,0.071,0,0.0380000000000001,0,-1.5707963267949,0,back_left_coxa,0,0,-1,,,,,,,,,,,,
back_left_tibia,0.0769737322157677,-0.000161721808717208,1.38777878078145E-17,0,0,0,0.0767264004240441,5.98334796474589E-06,-2.28166947954268E-07,7.74731472289028E-21,0.000243227038063636,1.71305722685129E-13,0.000243965339910108,0,0,0,0,0,0,package://A001_full_assem/meshes/back_left_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/back_left_tibia.STL,,D003_tibia_left-2,Origin_back_left_j3,Axis_back_left_j3,back_left_j3,continuous,0.16,0,0,0,0,-1.5707963267949,back_left_femur,0,0,1,,,,,,,,,,,,
back_right_coxa,0.0101571676911325,5.20370394582273E-19,0.0360475703553502,0,0,0,0.357956566838238,0.000267566341044879,-1.13816965091098E-20,2.3810557302836E-06,0.000318616541927676,8.91515003141497E-21,0.000314891505706399,0,0,0,0,0,0,package://A001_full_assem/meshes/back_right_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/back_right_coxa.STL,,D001B_shoulder_rear_right-1,Origin_back_right_j1,Axis_back_right_j1,back_right_j1,continuous,-0.155,-0.0400000000000005,0,1.5707963267949,0,-1.57079632679489,body,0,0,-1,,,,,,,,,,,,
back_right_femur,0.0540403586792017,0.000392932947434332,0.000209269982925558,0,0,0,0.221779515725082,9.24043033879769E-05,-5.40703887249155E-07,7.02697694701625E-06,0.000826603782824905,1.82367235893639E-08,0.000859693992619266,0,0,0,0,0,0,package://A001_full_assem/meshes/back_right_femur.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/back_right_femur.STL,,D002A_femur_right-2,Origin_back_right_j2,Axis_back_right_j2,back_right_j2,continuous,0.071,0,0.038,0,-1.5707963267949,0,back_right_coxa,0,0,1,,,,,,,,,,,,
back_right_tibia,0.0769737291485542,0.000161721337977927,4.75389311249685E-11,0,0,0,0.0767263959082593,5.98334790928995E-06,2.28168970537263E-07,-1.24223241897431E-13,0.000243227025333368,7.7474888757983E-14,0.000243965326667764,0,0,0,0,0,0,package://A001_full_assem/meshes/back_right_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A001_full_assem/meshes/back_right_tibia.STL,,D003A_tibia_right-2,Origin_back_right_j3,Axis_back_right_j3,back_right_j3,continuous,0.16,0,0,0,0,1.5707963267949,back_right_femur,0,0,-1,,,,,,,,,,,,
